travel.time.sum,travel.time.mean,trips,cong,party,ideology,winpct,seniority,chairman,committee,party.leader,state.district,extreme,fourteenth,thirteenth,twelfth,eleventh,democrat,house.majority
0,0,0,112,200,0.659,65.0990058,6,1,0,0,MI8,1.0240046,0,0,1,0,0,1
35,3.888888889,9,114,100,-0.379,62.5961839,17,0,1,0,MI9,1.0236525,1,0,0,0,1,0
9,2.25,4,112,100,-0.24,51.3184015,2,0,0,0,MI9,0.8846525,0,0,1,0,1,0
19,4.75,4,113,100,-0.342,64.5385994,16,0,1,0,MI9,0.9866525,0,1,0,0,1,0
11,5.5,2,111,100,-0.24,52.08,1,0,0,0,MI9,0.8846525,0,0,0,1,1,1
0,0,0,110,200,0.562,51.56,8,0,0,0,MI9,0.9270046,0,0,0,0,0,0
0,0,0,110,100,-0.275,52.74,1,0,0,0,MN1,0.9196525,0,0,0,0,1,1
0,0,0,112,100,-0.275,52.8337888,3,0,0,0,MN1,0.9196525,0,0,1,0,1,1
0,0,0,114,100,-0.28,54.2659252,5,0,0,0,MN1,0.9246525,1,0,0,0,1,0
0,0,0,113,100,-0.275,57.6110422,4,0,0,0,MN1,0.9196525,0,1,0,0,1,0
0,0,0,111,100,-0.275,62.5,2,0,0,0,MN1,0.9196525,0,0,0,1,1,0
49,2.578947368,19,114,200,0.49,59.0452681,7,1,0,0,MN2,0.8550046,1,0,0,0,0,1
54,3,18,113,200,0.734,54.0862369,6,1,0,0,MN2,1.0990046,0,1,0,0,0,1
26,2.363636364,11,111,200,0.726,57.29,4,0,1,0,MN2,1.0910046,0,0,0,1,0,0
20,2.222222222,9,112,200,0.73,63.3728001,5,1,0,0,MN2,1.0950046,0,0,1,0,0,1
6,3,2,110,200,0.722,56.2,3,0,0,0,MN2,1.0870046,0,0,0,0,0,0
41,5.857142857,7,114,200,0.404,62.1897751,4,0,0,0,MN3,0.7690046,1,0,0,0,0,1
29,4.833333333,6,113,200,0.763,58.1613994,3,0,0,0,MN3,1.1280046,0,1,0,0,0,1
28,4.666666667,6,112,200,0.763,61.65528,2,0,0,0,MN3,1.1280046,0,0,1,0,0,1
27,5.4,5,111,200,0.763,48.48,1,0,0,0,MN3,1.1280046,0,0,0,1,0,0
2,2,1,110,200,0.848,64.85,9,0,0,0,MN3,1.2130046,0,0,0,0,0,0
58,5.8,10,113,100,-0.392,66.3978231,7,0,0,0,MN4,1.0366525,0,1,0,0,1,0
49,5.444444444,9,112,100,-0.395,63.0516977,6,0,0,0,MN4,1.0396525,0,0,1,0,1,0
46,7.666666667,6,110,100,-0.401,69.54,4,0,0,0,MN4,1.0456525,0,0,0,0,1,1
19,6.333333333,3,114,100,-0.425,65.0352542,8,0,0,0,MN4,1.0696525,1,0,0,0,1,1
10,3.333333333,3,111,100,-0.398,68.44,5,0,0,0,MN4,1.0426525,0,0,0,1,1,0
65,3.095238095,21,113,100,-0.556,74.7037229,4,0,0,0,MN5,1.2006525,0,1,0,0,1,0
54,4.153846154,13,114,100,-0.541,74.7035626,5,0,0,0,MN5,1.1856525,1,0,0,0,1,0
29,3.625,8,112,100,-0.556,73.7096175,3,0,0,0,MN5,1.2006525,0,0,1,0,1,0
33,4.714285714,7,111,100,-0.556,70.88,2,0,0,0,MN5,1.2006525,0,0,0,1,1,1
10,3.333333333,3,110,100,-0.556,55.56,1,0,0,0,MN5,1.2006525,0,0,0,0,1,1
78,3.714285714,21,114,200,0.421,59.454012,1,0,0,0,MN6,0.7860046,1,0,0,0,0,1
41,3.153846154,13,113,200,0.822,50.5909216,4,0,0,0,MN6,1.1870046,0,1,0,0,0,1
28,3.5,8,112,200,0.822,56.8907518,3,0,0,0,MN6,1.1870046,0,0,1,0,0,1
25,4.166666667,6,110,200,0.822,50.05,1,0,0,0,MN6,1.1870046,0,0,0,0,0,0
